databaseId	type	name	mainText
g3	Unit	Snowspeeder	Your opponent discards 1 card from their hand.
g30	Unit	Grand Moff Tarkin	Add an Empire card from the galaxy row to your hand. You must exile that card at the end of your turn.
g31	Unit	Darth Vader	While the Force is with you, Darth Vader gains 4 [attack].
g32	Unit	Z-95 Headhunter	If your opponent has a capital ship in play, draw 1 card.
g33	Unit	Jawa Scavenger	Exile this unit to purchase a card from the galaxy discard pile as if it were in the galaxy row.
g34	Unit	Kel Dor Mystic	Exile this unit to exile 1 card from your hand or discard pile.
g35	Unit	Rodian Gunslinger	This unit gains 2 [attack] while attacking a target in the galaxy row.
g36	Unit	Lobot	When you play Lobot, choose: He gains 2 [attack], 2 [resource], or 2 [force] this turn.
g37	Unit	Bossk	When Bossk defeats a target in the galaxy row, gain 1 [resource].
g38	Unit	Fang Fighter	When you purchase this unit, add it to your hand (and draw 1 card if the Force is with you).
g39	Unit	Twi'lek Smuggler	Place the next card you purchase this turn on top of your deck.
g40	Unit	Dengar	When Dengar defeats a target in the galaxy row, gain 2 [resource].
g41	Unit	Quarren Mercenary	When you purchase this unit, exile 1 card from your hand or discard pile (up to 2 cards instead if the Force is with you).
g42	Unit	HWK-290	Exile this unit to repair 4 damage from your base.
g43	Unit	IG-88	When IG-88 defeats a target in the galaxy row, exile 1 card from your hand or discard pile.
g44	Unit	Lando Calrissian	Draw 1 card. If the Force is with you, your opponent discards 1 card from their hand.
g45	Unit	Jabba's Sail Barge	Add a Bounty Hunter from your discard pile to your hand.
g46	Unit	Jabba The Hutt	Exile 1 card from your hand to draw 1 card (2 cards instead if the Force is with you).
g4	Unit	Duros Spy	Your opponent must choose: Either they discard 1 card from their hand, or you gain 1 [resource].
g5	Unit	Chirrut Imwe	While the Force is with you, Chirrut Imwe gains 2 [attack].
g6	Unit	Rebel Commando	Your opponent discards 1 card from their hand (at random if the Force is with you).
g7	Unit	X-Wing	If the Force is with you, draw 1 card.
g8	Unit	Chewbacca	If you have another unique (◆) unit in play, draw 1 card.
g9	Unit	Jyn Erso	Look at your opponent's hand. If the Force is with you, place 1 card from their hand on top of their deck.
ncs1	CapitalShip	C-ROC Cruiser	Discard 1 card from your hand to repair 3 damage from your base.
ncs2	CapitalShip	Blockade Runner	Though designed as a diplomatic courier ship, the Corellian CR90 corvette is often used to run planetary blockades.
ncs3	CapitalShip	Nebulon-B Frigate	Choose: Repair 3 damage from your base, or gain 3 [resource].
orp1	Unit	Outer Rim Pilot	Exile this unit to gain 1 [force].
rb1	Base	Dantooine	Start the game with this base in play.
rb10	Base	Yavin 4	When your opponent discards a card from their hand during your turn, deal 2 damage to their base.
rb2	Base	Mon Cala	When you reveal Mon Cala, purchase a Rebel or neutral card from the galaxy row for free and add it to your hand.
rb3	Base	Dagobah	When you reveal Dagobah, exile up to 3 cards from your hand or discard pile.
rb4	Base	Bespin	When you play a neutral card for the first time each turn, draw 1 card.
rb5	Base	Alderaan	When you reveal Alderaan, gain 4 [resource].
rb6	Base	Hoth	While Hoth is your base, prevent the first 2 damage dealt to Hoth each turn.
rb7	Base	Jedha	While Jedha is your base, add the first neutral card you purchase each turn to your hand. You must exile that card at the end of your turn.
rb8	Base	Tatooine	When you reveal Tatooine, swap a card in the galaxy row with a Rebel card from the galaxy discard pile and gain 1 [resource].
rb9	Base	Sullust	While Sullust is your base, place the first card you purchase each turn on top of your deck.
rcs1	CapitalShip	Rebel Transport	Choose: Repair 2 damage from your base, or gain 1 [resource].
rcs2	CapitalShip	Hammerhead Corvette	Exile this capital ship to destroy a capital ship your opponent has in play, or an enemy capital ship in the galaxy row.
rcs3	CapitalShip	Mon Calamari Cruiser	
rs1	Unit	Alliance Shuttle	
rs2	Unit	Rebel Trooper	
rs3	Unit	Temple Guardian	When you play Temple Guardian, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.
